player_id,web_name,hierarchy_status,checked_at,valid_until,source_name,source_url,evidence_note
1,Raya,senior_starter,2026-08-20T06:45:00Z,2026-08-21T17:30:00Z,Arsenal,https://www.arsenal.com/men/players/david-raya,"Senior first-team goalkeeper; started the 16 August Community Shield and remains current first-team No.1 evidence."
4,Gabriel,senior_starter,2026-08-20T06:45:00Z,2026-08-21T17:30:00Z,Arsenal,https://www.arsenal.com/men/players/gabriel-magalhaes,"Senior first-team centre-back; started the 16 August Community Shield."
94,Schade,senior_squad,2026-08-20T06:45:00Z,2026-08-21T17:30:00Z,Brentford,https://www.brentfordfc.com/en/teams/mens-team,"Established senior first-team attacker; starting status is governed separately by specialist XI evidence."
106,Thiago,senior_starter,2026-08-20T06:45:00Z,2026-08-21T17:30:00Z,Brentford,https://www.brentfordfc.com/en/teams/mens-team,"Established senior first-team centre-forward and current projected-XI focal point."
109,Verbruggen,senior_starter,2026-08-20T06:45:00Z,2026-08-21T17:30:00Z,Brighton & Hove Albion,https://www.brightonandhovealbion.com/pages/en/first-team-men-squad,"Senior first-team goalkeeper and current projected starter."
130,Wieffer,senior_squad,2026-08-20T06:45:00Z,2026-08-21T17:30:00Z,Brighton & Hove Albion,https://www.brightonandhovealbion.com/pages/en/first-team-men-squad,"Official club evidence identifies Wieffer as a men's first-team player; starting status remains disputed and is governed separately."
165,João Pedro,senior_starter,2026-08-20T06:45:00Z,2026-08-21T17:30:00Z,Chelsea,https://www.chelseafc.com/en/teams/profile/joao-pedro,"Chelsea first-team forward; 2025/26 player of the season and started the 15 August final friendly."
212,Hughes,senior_squad,2026-08-20T06:45:00Z,2026-08-21T17:30:00Z,Crystal Palace,https://www.cpfc.co.uk/teams/first-team/,"Will Hughes is a Crystal Palace senior first-team midfielder. This row deliberately distinguishes player_id 212 from Hull defender Charlie Hughes (278)."
280,Coyle,senior_starter,2026-08-20T06:45:00Z,2026-08-21T17:30:00Z,Hull City,https://www.wearehullcity.co.uk/news/2026/february/11/coyle-signs-long-term-contract-at-hull-city/,"Official club confirms club captain and long-term senior right-back; current specialist evidence supports a GW1 start."
289,Crooks,senior_squad,2026-08-20T06:45:00Z,2026-08-21T17:30:00Z,Hull City,https://www.wearehullcity.co.uk/teams/first-team/,"Senior Hull first-team midfielder; current specialist sources disagree on GW1 start."
367,Gakpo,senior_squad,2026-08-20T06:45:00Z,2026-08-21T17:30:00Z,Liverpool,https://www.liverpoolfc.com/team/mens/player/cody-gakpo,"Official Liverpool men's-team profile confirms senior first-team status; transfer-state risk is governed separately."
388,Guéhi,senior_squad,2026-08-20T06:45:00Z,2026-08-21T17:30:00Z,Manchester City,https://www.mancity.com/players,"Senior Manchester City defender; appeared from the bench in the 16 August Community Shield. Starting hierarchy remains disputed."
391,Gvardiol,senior_starter,2026-08-20T06:45:00Z,2026-08-21T17:30:00Z,Manchester City,https://www.mancity.com/players,"Senior first-team defender; started the 16 August Community Shield."
411,Haaland,senior_starter,2026-08-20T06:45:00Z,2026-08-21T17:30:00Z,Manchester City,https://www.mancity.com/players/erling-haaland,"Senior first-choice centre-forward; started and captained the attack in the 16 August Community Shield."
427,Mbeumo,senior_starter,2026-08-20T06:45:00Z,2026-08-21T17:30:00Z,Manchester United,https://www.manutd.com/en/players-and-staff/first-team,"Senior first-team attacker and current projected GW1 starter."
466,Neave,academy,2026-08-18T19:10:00Z,2026-08-23T13:00:00Z,Newcastle United,https://www.newcastleunited.com/en/teams/mens-team/sean-neave,"Official club profile describes academy/U18/U21 pathway; 2026 preseason Darlington second-half XI was largely U21; current evidence does not support treating him as a normal senior autosub."
